name,code,pop
Aruba,ABW,26.1948752380219
Afghanistan,AFG,0.0372347810411313
Angola,AGO,0.581961496322796
Albania,ALB,0.978174680894664
Andorra,AND,8.01928429423459
Arab World,ARB,3.70692217696847
United Arab Emirates,ARE,35.9157642701389
Argentina,ARG,3.8549919479614
Armenia,ARM,1.12891750073544
American Samoa,ASM,
Antigua and Barbuda,ATG,4.53454535887182
Australia,AUS,17.2006098261369
Austria,AUT,7.7719711726771
Azerbaijan,AZE,3.66627102850185
Burundi,BDI,0.0425401297502332
Belgium,BEL,11.2296676990611
Benin,BEN,0.232860968567938
Burkina Faso,BFA,0.0897168507561461
Bangladesh,BGD,0.216415810969218
Bulgaria,BGR,5.32803434248386
Bahrain,BHR,28.3158780098434
Bahamas, The,BHS,6.54533620085153
Bosnia and Herzegovina,BIH,3.67562599035609
Belarus,BLR,5.38974529064763
Belize,BLZ,1.60134241756464
Bermuda,BMU,8.36199116976372
Bolivia,BOL,1.31464230629973
Brazil,BRA,1.87644130676787
Barbados,BRB,4.24078964329779
Brunei Darussalam,BRN,14.1434274308526
Bhutan,BTN,0.670087864898201
Botswana,BWA,2.30061387399032
Central African Republic,CAF,0.0735328575466559
Canada,CAN,17.4146389543283
Central Europe and the Baltics,CEB,6.60340370683694
Switzerland,CHE,5.44263089396945
Channel Islands,CHI,
Chile,CHL,3.83350669874432
China,CHN,2.69686243322549
Cote d'Ivoire,CIV,0.412726893061592
Cameroon,CMR,0.221240438843892
Congo, Dem. Rep.,COD,0.0193058073113929
Congo, Rep.,COG,0.335345114537232
Colombia,COL,1.46161955984569
Comoros,COM,0.189314418362813
Cabo Verde,CPV,0.505275720010836
Costa Rica,CRI,1.38170545319824
Caribbean small states,CSS,6.56441117809518
Cuba,CUB,2.34427134309927
Curacao,CUW,
Cayman Islands,CYM,11.0088882585159
Cyprus,CYP,7.39783205588949
Czech Republic,CZE,12.072240511833
Germany,DEU,10.0956398829225
Djibouti,DJI,0.511020312604517
Dominica,DMA,1.47417085427136
Denmark,DNK,9.61317555419716
Dominican Republic,DOM,2.33621167229999
Algeria,DZA,2.83037996458696
East Asia & Pacific (excluding high income),EAP,2.3059611442535
Early-demographic dividend,EAR,1.7136630644388
East Asia & Pacific,EAS,3.19511569575121
Europe & Central Asia (excluding high income),ECA,7.0702639145628
Europe & Central Asia,ECS,7.62706979213372
Ecuador,ECU,1.63381034944618
Egypt, Arab Rep.,EGY,2.05321770924242
Euro area,EMU,8.20758425446097
Eritrea,ERI,0.265537319578994
Spain,ESP,7.25782434589112
Estonia,EST,10.6362516419289
Ethiopia,ETH,0.0536000982350963
European Union,EUU,7.85024767647451
Fragile and conflict affected situations,FCS,0.975960877885528
Finland,FIN,10.0838428278302
Fiji,FJI,1.03995531475723
France,FRA,5.94666546275395
Faroe Islands,FRO,14.7511714988766
Micronesia, Fed. Sts.,FSM,1.16085361538891
Gabon,GAB,3.82115992054447
United Kingdom,GBR,9.19954923303155
Georgia,GEO,1.11256641005648
Ghana,GHA,0.326207374545461
Gibraltar,GIB,10.7377481738907
Guinea,GIN,0.199353212640142
Gambia, The,GMB,0.208715469267354
Guinea-Bissau,GNB,0.122100955547361
Equatorial Guinea,GNQ,0.756168537120101
Greece,GRC,8.47843382003456
Grenada,GRD,1.85430746939212
Greenland,GRL,8.0908896797153
Guatemala,GTM,0.85554551124911
Guam,GUM,
Guyana,GUY,2.15586000013392
High income,HIC,12.0408134356504
Hong Kong SAR, China,HKG,6.06746826706677
Honduras,HND,0.76524710818709
Heavily indebted poor countries (HIPC),HPC,0.164325916988683
Croatia,HRV,4.32821192479828
Haiti,HTI,0.158571923789369
Hungary,HUN,5.46729669489807
IBRD only,IBD,2.63764492899895
IDA & IBRD total,IBT,2.18162325948032
IDA total,IDA,0.49444830365351
IDA blend,IDB,0.946423936697846
Indonesia,IDN,1.24539824992904
IDA only,IDX,0.264364664247983
Isle of Man,IMN,
India,IND,0.976601686435581
Not classified,INX,
Ireland,IRL,10.8347426425178
Iran, Islamic Rep.,IRN,5.67232331208659
Iraq,IRQ,3.08309351790833
Iceland,ISL,7.69378211624971
Israel,ISR,9.58177945619335
Italy,ITA,7.912673166227
Jamaica,JAM,3.88289943010531
Jordan,JOR,3.02738197982896
Japan,JPN,9.61252230710406
Kazakhstan,KAZ,7.93485418136683
Kenya,KEN,0.325921832734926
Kyrgyz Republic,KGZ,0.946245304589254
Cambodia,KHM,0.162605852505245
Kiribati,KIR,0.391049338831224
St. Kitts and Nevis,KNA,3.90964771000159
Korea, Rep.,KOR,9.52093176005307
Kuwait,KWT,26.189232628062
Latin America & Caribbean (excluding high income),LAC,2.50943954431706
Lao PDR,LAO,0.181844957454402
Lebanon,LBN,3.96780298003163
Liberia,LBR,0.150621599912374
Libya,LBY,8.79331363777277
St. Lucia,LCA,2.22272202336517
Latin America & Caribbean,LCN,2.60599840113482
Least developed countries: UN classification,LDC,0.169318940371018
Low income,LIC,0.422933079579211
Liechtenstein,LIE,
Sri Lanka,LKA,0.545238127064261
Lower middle income,LMC,1.03768882719768
Low & middle income,LMY,2.12269438144556
Lesotho,LSO,0.91097567694672
Late-demographic dividend,LTE,3.40238555448088
Lithuania,LTU,3.47572906808217
Luxembourg,LUX,18.8855122622049
Latvia,LVA,2.68262296466812
Macao SAR, China,MAC,3.81459481698622
St. Martin (French part),MAF,
Morocco,MAR,1.17751823238705
Monaco,MCO,
Moldova,MDA,1.20152076949623
Madagascar,MDG,0.118846962409508
Maldives,MDV,1.61433152706891
Middle East & North Africa,MEA,4.67435893595356
Mexico,MEX,4.02814463460484
Marshall Islands,MHL,1.95080093787559
Middle income,MIC,2.27059183869839
North Macedonia,MKD,5.92899417589476
Mali,MLI,0.0760437749424585
Malta,MLT,5.42406950244433
Myanmar,MMR,0.21592426287146
Middle East & North Africa (excluding high income),MNA,3.12689365311901
Montenegro,MNE,
Mongolia,MNG,3.13101386575057
Northern Mariana Islands,MNP,
Mozambique,MOZ,0.0761891125680452
Mauritania,MRT,0.446137755069065
Mauritius,MUS,2.2677893927994
Malawi,MWI,0.0789397348117162
Malaysia,MYS,5.42091501357427
North America,NAC,19.9053509556714
Namibia,NAM,0.915436614098857
New Caledonia,NCL,10.4732120245744
Niger,NER,0.0614858134676461
Nigeria,NGA,0.647042589843221
Nicaragua,NIC,0.742181467981193
Netherlands,NLD,10.9156798905002
Norway,NOR,8.83401570307687
Nepal,NPL,0.128201198691289
Nauru,NRU,8.15913708039083
New Zealand,NZL,8.54939419861576
OECD members,OED,10.7607628131651
Oman,OMN,9.56374039726222
Other small states,OSS,5.04659785749285
Pakistan,PAK,0.747833829215674
Panama,PAN,1.91074794543693
Peru,PER,1.1450044641062
Philippines,PHL,0.939932650573128
Palau,PLW,10.9405391258833
Papua New Guinea,PNG,0.455899066725996
Poland,POL,7.82279832871167
Pre-demographic dividend,PRE,0.398117194491991
Puerto Rico,PRI,
Korea, Dem. People’s Rep.,PRK,3.03815129916929
Portugal,PRT,6.09640338514531
Paraguay,PRY,0.693004453523359
West Bank and Gaza,PSE,0.568468180824207
Pacific island small states,PSS,0.956713336173318
Post-demographic dividend,PST,12.013749342061
French Polynesia,PYF,2.36152081965715
Qatar,QAT,58.619464679949
Romania,ROU,4.04051865503903
Russian Federation,RUS,10.6270979157133
Rwanda,RWA,0.066557755473153
South Asia,SAS,0.84896055394424
Saudi Arabia,SAU,14.3698016385432
Sudan,SDN,0.20287809190939
Senegal,SEN,0.401966209737884
Singapore,SGP,12.1666243367801
Solomon Islands,SLB,0.373222507633403
Sierra Leone,SLE,0.0927833814766965
El Salvador,SLV,0.977171457026707
San Marino,SMR,
Somalia,SOM,0.0541437384457208
Serbia,SRB,
Sub-Saharan Africa (excluding high income),SSA,0.850623770455485
South Sudan,SSD,
Sub-Saharan Africa,SSF,0.853875191924389
Small states,SST,5.11269068805467
Sao Tome and Principe,STP,0.335092997427282
Suriname,SUR,4.66410656044031
Slovak Republic,SVK,6.65932948826437
Slovenia,SVN,7.23840366026874
Sweden,SWE,5.56243008285854
Eswatini,SWZ,1.18533271668482
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,7.05096695467824
Syrian Arab Republic,SYR,3.11019716957954
Turks and Caicos Islands,TCA,3.4553164054751
Chad,TCD,0.0583689798548384
East Asia & Pacific (IDA & IBRD countries),TEA,2.29674413426723
Europe & Central Asia (IDA & IBRD countries),TEC,6.95232558042409
Togo,TGO,0.276268468739961
Thailand,THA,2.74329018629591
Tajikistan,TJK,0.359837081009552
Turkmenistan,TKM,8.31221733283763
Latin America & the Caribbean (IDA & IBRD countries),TLA,2.58507166806535
Timor-Leste,TLS,
Middle East & North Africa (IDA & IBRD countries),TMN,3.15394597188415
Tonga,TON,0.973145662580507
South Asia (IDA & IBRD),TSA,0.84896055394424
Sub-Saharan Africa (IDA & IBRD countries),TSS,0.853875191924389
Trinidad and Tobago,TTO,18.8131717322218
Tunisia,TUN,2.05213151565405
Turkey,TUR,3.41794199745814
Tuvalu,TUV,0.780711092186502
Tanzania,TZA,0.0791434596309522
Uganda,UGA,0.0607802767776911
Ukraine,UKR,6.52553225626061
Upper middle income,UMC,3.35233932287604
Uruguay,URY,1.5983647494861
United States,USA,20.1787505069199
Uzbekistan,UZB,4.941815954305
St. Vincent and the Grenadines,VCT,1.360869887924
Venezuela, RB,VEN,6.30041798997919
British Virgin Islands,VGB,6.13844714686623
Virgin Islands (U.S.),VIR,
Vietnam,VNM,0.671308552382385
Vanuatu,VUT,0.455966308414246
World,WLD,3.91182063498908
Samoa,WSM,0.819774840359063
Kosovo,XKX,
Yemen, Rep.,YEM,0.841074756885376
South Africa,ZAF,8.42082992088456
Zambia,ZMB,0.174972042860445
Zimbabwe,ZWE,1.17187442268331
